Label,Address,Comment
FIO_FindNextEx,0xFF34C264,
FIO_FindClose,0xFF34C344,
dialog_set_property_str,0xFF392A7C,
ProcessPathForFurikake,0xFF42A9EC,
dialog_redraw,0xFF4E0E80,
MirrorDisplay,0xFF504650,
ReverseDisplay,0xFF504680,
NormalDisplay,0xFF5046B0,
ErrForCamera_handler,0xFF53CF40,
CancelDateTimer,0xFF549070,
HideUnaviFeedBack_maybe,0xFF5568AC,
LiveViewApp_handler,0xFF55CA40,
LiveViewApp_handler_BL_JudgeBottomInfoDispTimerState,0xFF55D838,
LiveViewApp_handler_end,0xFF55F1CC,
ShootOlcApp_handler,0xFF56A160,
PlayMovieGuideApp_handler,0xFF5886E0,
PACK16_Setup,0xFF63D818,
fsuDecodePartitionTable,0xFF67BD28,
GetCFnData,0xFF6C8054,
SetCFnData,0xFF6C813C,
LiveViewLevelApp_handler,0xFF6EEB9C,
ErrCardForLVApp_handler,0xFF6F03C4,
LiveViewShutterApp_handler,0xFF745794,
LiveViewWifiApp_handler,0xFF7523B4,
PlayMain_handler,0xFF776250,
ptpip_bind_param,0xFF7AEE18,
ptpip_open_server,0xFF7AEE80,
ptpip_listen_close,0xFF7AEFCC,
ptpip_sock_accept,0xFF7AF160,
ptpip_sock_create,0xFF7AF220,
ptpip_create_client,0xFF7AF2CC,
ptpip_close_server,0xFF7AF344,
socket_close_if_valid,0xFF7AF380,
ptpip_set_keepalive,0xFF7AF38C,
ptpip_errno_handler,0xFF7AF3B4,
audio_thresholds,0xFFA1844C,
