Name,Address,Source
FIO_RenameFile,0xFF34B9E0,NSTUB
FIO_CreateDirectory,0xFF34BBA8,NSTUB
FIO_FindFirstEx,0xFF34C170,NSTUB
FIO_FindNextEx,0xFF34C264,NSTUB
FIO_FindClose,0xFF34C344,NSTUB
dialog_set_property_str,0xFF392A7C,NSTUB
ProcessPathForFurikake,0xFF42A9EC,NSTUB
dialog_redraw,0xFF4E0E80,NSTUB
MirrorDisplay,0xFF504650,NSTUB
ReverseDisplay,0xFF504680,NSTUB
NormalDisplay,0xFF5046B0,NSTUB
ErrForCamera_handler,0xFF53CF40,NSTUB
CancelDateTimer,0xFF549070,NSTUB
HideUnaviFeedBack_maybe,0xFF5568AC,NSTUB
LiveViewApp_handler,0xFF55CA40,NSTUB
LiveViewApp_handler_BL_JudgeBottomInfoDispTimerState,0xFF55D838,NSTUB
LiveViewApp_handler_end,0xFF55F1CC,NSTUB
ShootOlcApp_handler,0xFF56A160,NSTUB
PlayMovieGuideApp_handler,0xFF5886E0,NSTUB
PACK16_Setup,0xFF63D818,NSTUB
fsuDecodePartitionTable,0xFF67BD28,NSTUB
GetCFnData,0xFF6C8054,NSTUB
SetCFnData,0xFF6C813C,NSTUB
LiveViewLevelApp_handler,0xFF6EEB9C,NSTUB
ErrCardForLVApp_handler,0xFF6F03C4,NSTUB
LiveViewShutterApp_handler,0xFF745794,NSTUB
LiveViewWifiApp_handler,0xFF7523B4,NSTUB
PlayMain_handler,0xFF776250,NSTUB
ptpip_bind_param,0xFF7AEE18,NSTUB
ptpip_open_server,0xFF7AEE80,NSTUB
ptpip_listen_close,0xFF7AEFCC,NSTUB
ptpip_sock_accept,0xFF7AF160,NSTUB
ptpip_sock_create,0xFF7AF220,NSTUB
ptpip_create_client,0xFF7AF2CC,NSTUB
ptpip_close_server,0xFF7AF344,NSTUB
socket_close_if_valid,0xFF7AF380,NSTUB
ptpip_set_keepalive,0xFF7AF38C,NSTUB
ptpip_errno_handler,0xFF7AF3B4,NSTUB
audio_thresholds,0xFFA1844C,NSTUB
